Car Brand,Mileage (km),Year of Make,Price (USD)
Lexus,44300,2016,18678
Lexus,104605,2023,44071
Audi,61844,2006,48691
Audi,106637,2022,14132
Lexus,91325,2006,19537
Audi,36657,2023,49257
Lexus,22560,2005,25987
Lexus,69384,2022,22411
Audi,66428,2022,33116
Audi,104267,2023,31836
Audi,137019,2013,38384
Lexus,85547,2023,20871
Audi,10375,2006,32817
Lexus,10702,2008,17946
Lexus,22806,2009,14576
Audi,110401,2008,33056
Lexus,144843,2017,30793
Lexus,40662,2011,31775
Audi,17685,2012,25423
Audi,8932,2006,23744
Audi,93276,2008,39190
Audi,83424,2013,32312
Lexus,133006,2014,16541
Lexus,42050,2017,29104
Audi,126560,2023,16106
Audi,114709,2012,11756
Audi,92601,2011,31951
Lexus,44069,2023,22816
Audi,70438,2014,44758
Audi,14546,2019,28881
Lexus,113783,2008,33117
Lexus,80212,2016,35325
Lexus,137148,2005,14427
Audi,112659,2008,41788
Lexus,84481,2017,39200
Audi,56482,2019,33872
Audi,10380,2006,26460
Audi,90914,2019,22908
Audi,137077,2008,28627
Audi,18859,2019,36229
Lexus,7154,2020,33700
Audi,137471,2006,29595
Lexus,120569,2015,13523
Lexus,29761,2016,40237
Audi,91015,2016,42110
Lexus,137902,2009,32609
Audi,26236,2011,28644
Lexus,55033,2014,36702
Audi,129830,2005,33379
Lexus,99518,2012,20645
Lexus,133350,2021,17835
Audi,19909,2017,29663
Lexus,81946,2008,49887
Audi,48464,2013,10294
Lexus,75367,2013,25695
Audi,145098,2017,35947
Lexus,24364,2013,18655
Audi,23450,2008,19873
Lexus,141528,2016,13656
Audi,139312,2021,45385
Lexus,93523,2006,47410
Lexus,14575,2013,29303
Lexus,94178,2017,42554
Audi,136180,2013,21516
Lexus,135343,2014,15504
Lexus,96560,2007,13390
Audi,132373,2022,43680
Lexus,85566,2011,48228
Lexus,86765,2023,20731
Audi,110097,2014,47122
Lexus,148397,2018,10595
Lexus,125425,2017,30618
Lexus,32065,2011,10384
Lexus,85503,2022,12176
Lexus,5786,2010,40182
Audi,17835,2020,23677
Audi,51949,2018,19535
Audi,127909,2019,18518
Lexus,129196,2015,12965
Audi,138910,2009,28892
Audi,65416,2021,33487
Lexus,97434,2011,38426
Lexus,43954,2005,48474
Lexus,69810,2015,39865
Lexus,27843,2005,20788
Lexus,105778,2014,19246
Audi,124193,2018,14864
Lexus,137109,2012,32138
Audi,122981,2013,28530
Lexus,91517,2009,28122
Audi,13425,2009,12498
Audi,106320,2017,46104
Audi,38267,2019,16504
Audi,67745,2007,39746
Lexus,101282,2015,45327
Audi,12566,2013,13879
Audi,29895,2020,13272
Lexus,10922,2022,22884
Lexus,139699,2022,27841
Lexus,13910,2021,11261
Lexus,131133,2021,38959
Audi,73770,2007,15775
Audi,135819,2020,22546
Audi,87879,2006,39655
Audi,52815,2021,34359
Audi,53110,2011,24820
Lexus,149590,2008,24613
Audi,95454,2010,24091
Lexus,78350,2013,18518
Lexus,14506,2013,29331
Audi,149715,2013,17615
Audi,30063,2022,11443
Lexus,41591,2023,25530
Audi,125929,2020,48228
Audi,90412,2012,29440
Lexus,149959,2021,36218
Lexus,60005,2021,27194
Lexus,101259,2009,44257
Lexus,28087,2009,46510
Audi,49836,2023,22867
Audi,144776,2008,17631
Lexus,12938,2017,13765
Audi,5186,2009,26946
Lexus,70272,2005,24824
Lexus,110695,2011,40816
Audi,104327,2016,45004
Lexus,120402,2015,35334
Audi,75067,2006,30477
Lexus,66778,2016,47439
Lexus,74500,2023,46369
Lexus,112048,2021,34154
Audi,32696,2023,34786
Audi,71913,2015,36703
Audi,52479,2006,24549
Audi,21264,2012,20264
Lexus,91128,2014,23835
Audi,86384,2009,20022
Lexus,51436,2005,11955
Audi,148048,2022,40182
Lexus,52293,2021,49546
Audi,7039,2008,35769
Lexus,8704,2022,42609
Lexus,57543,2013,39866
Audi,129974,2009,40768
Lexus,75166,2008,37118
Audi,69754,2017,30200
Audi,136235,2015,31156
Lexus,89625,2007,13798
Lexus,20920,2010,13920
Lexus,148799,2007,31521
Lexus,114643,2006,31390
Audi,50187,2013,11503
Lexus,107000,2020,36140
Lexus,82512,2015,44549
Audi,54193,2005,22104
Lexus,28404,2006,28133
Lexus,92050,2006,28598
Audi,116754,2012,24569
Lexus,80957,2013,42675
Audi,46769,2023,46984
Audi,129360,2022,13651
Lexus,99501,2014,26758
Lexus,88140,2023,49513
Audi,124586,2015,16961
Audi,44946,2013,36916
Audi,13672,2005,49258
Lexus,131158,2020,39554
Lexus,16929,2009,44952
Lexus,22576,2013,14677
Lexus,15921,2005,44597
Audi,59536,2008,49939
Audi,149201,2008,11974
Audi,30142,2021,42677
Audi,70012,2021,41903
Lexus,46220,2020,32348
Audi,67597,2011,26248
Audi,76136,2009,26380
Audi,33907,2023,40831
Audi,35461,2011,33872
Audi,90489,2013,20196
Audi,68552,2011,49392
Audi,28321,2014,23094
Audi,145464,2020,19646
Audi,73726,2019,15313
Audi,43446,2013,29009
Audi,95518,2012,43926
Audi,57403,2005,15064
Lexus,38637,2020,17427
Audi,9548,2006,26433
Lexus,52092,2006,28054
Audi,75044,2015,26385
Lexus,77088,2018,35584
Audi,5438,2010,45288
Audi,90927,2016,16582
Lexus,102404,2010,17709
Audi,122640,2016,17853
Lexus,110992,2017,24242
Audi,54451,2005,49943
Audi,16003,2019,48535
Lexus,32246,2023,10594
Audi,39013,2014,12677
Lexus,100379,2018,48388
Audi,96552,2013,37863
Audi,118005,2008,41959
Lexus,124064,2023,33905
Lexus,116200,2016,40052
Audi,106440,2007,49374
Audi,88003,2009,28329
Audi,72379,2021,48325
Lexus,21004,2011,10850
Lexus,82001,2012,45480
Lexus,43541,2008,28071
Lexus,56926,2020,26801
Lexus,136726,2021,49876
Audi,13990,2011,22410
Lexus,100252,2022,48735
Lexus,75898,2012,43615
Lexus,102966,2014,48458
Audi,110623,2017,15928
Audi,144301,2010,13699
Audi,18268,2009,43602
Audi,27982,2010,42725
Lexus,87102,2010,36502
Audi,134507,2023,19578
Lexus,14403,2011,37973
Audi,54412,2005,27893
Audi,85191,2007,46395
Lexus,114945,2014,22088
Lexus,114963,2018,10970
Lexus,112978,2008,42342
Audi,129379,2020,14403
Audi,86177,2009,48752
Lexus,138305,2005,46832
Audi,61325,2008,44204
Lexus,137806,2019,23495
Lexus,94985,2023,46810
Audi,142142,2009,16977
Lexus,75433,2008,41603
Lexus,67753,2009,43058
Lexus,141886,2007,43022
Lexus,84003,2009,48443
Audi,115591,2020,29271
Lexus,35144,2016,14667
Lexus,68485,2021,47064
Audi,55368,2021,37471
Audi,123240,2006,28504
Lexus,55049,2022,22733
Audi,67321,2019,25438
Audi,18611,2005,36516
Audi,117610,2022,48659
Audi,44592,2011,35757
Lexus,42612,2011,39760
Lexus,72293,2017,22457
Lexus,74373,2011,47721
Audi,149533,2019,14978
Audi,111964,2018,49627
Audi,133247,2010,39314
Lexus,129480,2008,28368
Lexus,145925,2009,33734
Audi,79430,2017,34763
Lexus,93748,2005,12200
Audi,148999,2006,23913
Lexus,15218,2012,43888
Audi,48808,2007,34389
Audi,120956,2011,24209
Lexus,15088,2021,28333
Audi,40591,2022,47583
Lexus,130487,2012,29669
Audi,28155,2018,18862
Audi,138029,2016,29084
Lexus,12602,2008,17222
Lexus,113548,2012,23654
Audi,133211,2017,12551
Audi,82026,2006,37282
Lexus,135198,2015,28016
Audi,139031,2016,17630
Lexus,71599,2010,27420
Audi,115721,2006,17203
Lexus,50529,2019,43062
Audi,139260,2008,44810
Lexus,121859,2014,13171
Audi,37383,2010,31329
Audi,72522,2010,45979
Audi,44351,2011,33596
Lexus,53394,2014,14335
Audi,123724,2012,46803
Lexus,97264,2015,45799
Audi,80685,2005,40482
Lexus,22640,2005,35040
Lexus,145152,2013,41446
Lexus,109459,2010,42721
Audi,30585,2022,16472
Audi,12937,2017,25405
Lexus,106947,2020,23638
Audi,104482,2020,45479
Lexus,103104,2023,39495
Audi,117069,2019,13382
Audi,32844,2021,25571
Audi,98608,2023,38508
Lexus,85689,2008,22239
Lexus,115244,2013,48963
Lexus,10506,2023,20079
Audi,68358,2011,32377
Lexus,16181,2012,42484
Lexus,7217,2012,32899
Audi,128891,2022,13594
Lexus,147084,2013,41756
Lexus,148014,2005,31589
Lexus,133303,2016,10379
Lexus,85378,2018,20512
Lexus,59753,2008,13657
Audi,64031,2022,49188
Lexus,78574,2005,15335
Audi,134535,2008,16429
Audi,123451,2016,49052
Lexus,113982,2011,39312
Audi,94839,2015,11590
Audi,16862,2010,30470
Audi,121362,2007,29891
Audi,46880,2020,30103
Audi,67560,2013,43399
Lexus,31020,2020,12789
Audi,44009,2012,16275
Audi,131341,2006,33150
Lexus,137699,2020,30006
Lexus,49464,2011,33270
Lexus,116359,2019,13506
Audi,63717,2017,29311
Audi,124409,2006,37972
Audi,146403,2016,27552
Lexus,63683,2006,15243
Audi,61538,2007,26189
Lexus,64470,2005,13586
Audi,120671,2010,14927
Audi,98454,2008,24166
Lexus,22485,2013,31389
Audi,5096,2020,32844
Lexus,64325,2016,15373
Lexus,77735,2014,34872
Audi,52085,2010,43552
Audi,32118,2013,49933
Audi,24251,2022,18169
Audi,16525,2016,43833
Lexus,34727,2015,13832
Lexus,7584,2016,16006
Audi,104007,2012,32606
Audi,69353,2022,18066
Audi,67073,2012,42847
Audi,24982,2012,43875
Lexus,121428,2009,12215
Audi,26060,2022,23740
Lexus,113403,2015,16894
Lexus,30263,2012,41566
Lexus,106476,2010,32207
Lexus,75407,2021,15358
Audi,36091,2011,38403
Audi,134787,2021,16613
Lexus,31559,2013,28259
Lexus,6234,2016,37913
Audi,114914,2020,47309
Lexus,24831,2009,29720
Lexus,63282,2014,49814
Audi,86326,2020,28234
Lexus,134975,2020,15794
Audi,95422,2009,17351
Lexus,51672,2014,35894
Audi,144857,2021,44514
Audi,141128,2016,36796
Lexus,59930,2013,25198
Audi,70901,2007,32235
Audi,29198,2020,16624
Lexus,138213,2018,16199
Audi,11008,2008,16832
Audi,103664,2021,39082
Lexus,51455,2010,23919
Lexus,52777,2009,42119
Audi,125575,2009,26517
Audi,73602,2021,11294
Audi,63531,2023,20951
Lexus,68581,2023,30690
Lexus,55836,2008,23381
Audi,69526,2010,22423
Audi,65892,2021,24789
Audi,135684,2006,11556
Lexus,146630,2007,46430
Lexus,139651,2011,31840
Lexus,44260,2015,22787
Audi,55850,2019,48289
Audi,58448,2023,40863
Lexus,117449,2012,38993
Lexus,102389,2007,22246
Lexus,67202,2007,26383
Audi,133081,2023,20256
Lexus,18871,2009,25213
Lexus,20883,2018,43930
Lexus,38238,2010,19751
Lexus,115494,2018,38429
Lexus,130290,2007,37548
Audi,101236,2021,23691
Audi,68086,2020,39107
Audi,124902,2016,12674
Lexus,143882,2008,12757
Audi,109377,2023,49510
Audi,72525,2011,45297
Audi,121754,2023,41060
Lexus,47116,2007,31202
Audi,10114,2021,14423
Lexus,72643,2020,16705
Audi,138504,2015,49178
Lexus,143033,2006,28083
Audi,133178,2006,42865
Lexus,51677,2011,16615
Audi,16637,2010,31627
Audi,108060,2006,20337
Audi,21756,2022,17894
Audi,77836,2015,11912
Lexus,115763,2016,49277
Lexus,133014,2013,45566
Audi,12714,2006,28092
Lexus,135377,2022,26709
Lexus,8312,2007,30893
Lexus,86023,2009,16797
Audi,69644,2022,33234
Lexus,106381,2015,44340
Lexus,86690,2007,13439
Lexus,81664,2023,39853
Audi,136920,2009,41213
Lexus,77611,2023,11298
Lexus,71856,2017,40835
Lexus,80986,2014,29941
Audi,35214,2014,15488
Audi,149471,2005,18024
Audi,126568,2010,11674
Audi,19751,2007,29818
Audi,108427,2012,45458
Lexus,41583,2023,23360
Audi,89108,2017,42189
Lexus,72485,2014,27093
Lexus,68657,2007,43274
Audi,63291,2009,35795
Lexus,84663,2005,30110
Lexus,30651,2015,13112
Audi,63282,2009,14802
Audi,94757,2010,34241
Audi,59787,2019,38574
Audi,138565,2015,21088
Lexus,11626,2017,33354
Audi,99117,2007,43222
Audi,136364,2023,45776
Audi,94213,2011,14228
Lexus,128535,2013,45845
Audi,64455,2007,35433
Lexus,103611,2016,39858
Audi,50489,2010,31328
Lexus,147381,2012,40532
Audi,29058,2012,23251
Lexus,42794,2013,33304
Lexus,79865,2014,27933
Lexus,58729,2015,16957
Lexus,118162,2008,43886
Lexus,94914,2014,12215
Lexus,63051,2008,42285
Audi,77122,2007,35924
Audi,84501,2009,25216
Audi,64490,2010,39752
Audi,136986,2010,22113
Audi,97554,2022,25717
Audi,71306,2019,12256
Audi,85831,2006,30083
Lexus,106870,2007,22599
Audi,29119,2009,12138
Lexus,95874,2012,40714
Lexus,109968,2011,27456
Audi,105517,2008,45302
Lexus,120757,2020,46734
Lexus,63513,2022,31078
Audi,12569,2005,38752
Lexus,63466,2020,35160
Lexus,41651,2016,35915
Audi,79892,2015,30043
Lexus,140077,2011,38377
Lexus,5368,2007,14115
Audi,33549,2015,37255
Audi,38318,2020,28652
Audi,114214,2015,49397
Lexus,122256,2012,25501
Audi,93623,2008,25640
Lexus,110127,2009,22342
Audi,109613,2013,44634
Lexus,145048,2006,25744
Audi,44207,2023,20456
Audi,89100,2016,43801
Lexus,51092,2007,22626
Lexus,52301,2014,18213
Audi,5327,2008,15021
Lexus,139117,2007,35196
Lexus,15972,2010,29065
Lexus,105031,2022,37954
Audi,117165,2017,29574
Audi,59244,2008,17317
Lexus,97888,2015,24055
Audi,74416,2016,10983
Lexus,71401,2022,44344
Lexus,144864,2018,48256
Lexus,54978,2010,28733
Audi,146668,2012,18406
Lexus,126186,2017,43066
Lexus,89213,2008,32450
Lexus,91627,2005,43230
Lexus,38781,2012,16323
Lexus,6722,2010,46031
Lexus,38399,2009,24536
Audi,98642,2005,17157
Audi,99845,2006,49462
Lexus,59094,2018,13919
Audi,34751,2017,49050
Lexus,6182,2021,49687
Audi,98987,2011,35368
Audi,107598,2016,41445
Lexus,148746,2015,39297
Lexus,40210,2023,18239
Audi,67231,2010,47536
Lexus,108394,2007,24576
Lexus,28825,2014,48391
Lexus,61965,2015,15121
Lexus,37263,2017,12541
Lexus,70481,2008,37299
Lexus,128032,2018,27542
Lexus,104475,2010,18041
Lexus,91939,2018,23935
Lexus,64013,2014,47395
Audi,132089,2020,42923
Lexus,19595,2005,34912
Audi,77446,2017,38628
Lexus,103804,2007,48733
Lexus,116060,2011,19769
Lexus,107151,2014,17042
Lexus,78542,2013,38018
Lexus,43332,2023,29181
Audi,130719,2013,39240
Lexus,24850,2007,12300
Audi,43452,2021,39609
Lexus,149697,2005,37162
Audi,98425,2013,48913
Lexus,16636,2009,40719
Lexus,134619,2014,48893
Lexus,146258,2016,34728
Audi,116291,2005,38345
Audi,58888,2020,30712
Audi,127949,2008,11983
Audi,19424,2019,18367
Audi,78190,2007,35042
Lexus,92301,2006,35027
Audi,146568,2010,17983
Audi,66418,2019,14798
Lexus,48554,2020,11275
Lexus,101786,2012,18170
Lexus,90014,2016,11138
Audi,95656,2016,15465
Audi,42063,2012,42642
Audi,124885,2012,38782
Lexus,24044,2011,40488
Audi,85998,2012,43502
Lexus,144000,2023,29739
Audi,88132,2019,29110
Lexus,78082,2007,24140
Lexus,71937,2014,44698
Audi,112632,2009,44527
Lexus,48128,2010,17926
Lexus,146336,2012,44931
Lexus,47949,2015,44553
Audi,48743,2018,42764
Audi,32810,2021,21557
Lexus,135632,2020,46910
Audi,25080,2006,32208
Lexus,93276,2017,24520
Lexus,119747,2005,40200
Lexus,101355,2021,29386
Audi,76984,2005,42517
Lexus,55333,2019,44114
Audi,105080,2017,49890
Lexus,13796,2020,39478
Audi,39010,2019,25123
Audi,142004,2008,29794
Audi,111873,2010,27494
Lexus,130612,2022,22202
Lexus,7225,2022,22018
Lexus,34712,2011,41101
Audi,96787,2014,35138
Audi,43439,2015,46079
Lexus,79292,2005,30549
Lexus,8552,2020,26120
Lexus,19627,2008,11200
Lexus,59764,2016,29661
Lexus,26832,2009,33819
Lexus,139192,2012,25604
Audi,34501,2012,26824
Lexus,118701,2006,21263
Audi,95124,2014,47876
Audi,28623,2023,45876
Audi,85721,2017,28289
Lexus,119702,2010,45830
Lexus,133311,2020,39061
Lexus,132444,2018,11563
Audi,116478,2018,25798
Lexus,68263,2006,30680
Audi,17759,2015,26419
Lexus,147158,2011,38339
Audi,129511,2017,48019
Lexus,26032,2020,32983
Audi,15638,2023,38293
Audi,104148,2014,19297
Audi,39277,2021,37490
Lexus,141796,2017,48717
Audi,16632,2012,46283
Lexus,115439,2021,48512
Lexus,112397,2021,47879
Audi,42240,2015,12411
Lexus,97515,2023,18473
Audi,121422,2013,33845
Audi,72188,2018,29872
Audi,124453,2020,26228
Audi,132755,2014,32028
Audi,96562,2007,18591
Audi,116251,2021,43780
Lexus,19067,2016,26754
Lexus,21940,2017,33227
Audi,10591,2010,20042
Audi,38373,2019,39408
Audi,21609,2017,31809
Audi,46506,2010,16186
Audi,63032,2019,35411
Audi,135974,2006,48570
Audi,125834,2015,37654
Audi,99809,2021,41589
Lexus,20329,2007,48248
Audi,138309,2018,20190
Audi,5515,2019,20490
Lexus,148756,2017,11966
Lexus,104099,2015,34864
Lexus,87499,2023,48814
Lexus,46461,2014,36706
Lexus,144934,2022,38075
Audi,101333,2006,13552
Audi,112629,2018,38777
Audi,81435,2012,39601
Audi,19998,2016,42792
Audi,113627,2007,12160
Audi,73608,2019,42844
Audi,89677,2015,17180
Audi,138074,2020,40870
Audi,60698,2008,13096
Audi,18023,2020,32794
Audi,121216,2017,42464
Lexus,99490,2017,43832
Lexus,75880,2015,40207
Lexus,103101,2017,33509
Lexus,147960,2016,33652
Audi,35867,2005,43264
Audi,106031,2009,14852
Lexus,142426,2017,16396
Lexus,83736,2017,27932
Audi,15346,2007,28362
Lexus,82459,2015,12075
Audi,117224,2008,44571
Audi,124078,2020,47721
Lexus,68929,2012,16293
Audi,38842,2008,24651
Lexus,132352,2011,36854
Audi,12062,2021,42807
Audi,121387,2013,47826
Audi,130127,2015,20589
Audi,32580,2015,42042
Audi,98792,2021,23665
Audi,76761,2012,17361
Audi,146468,2014,33194
Audi,66133,2012,12662
Audi,112647,2014,16012
Audi,122833,2020,25875
Audi,34032,2007,43265
Audi,114824,2015,49094
Audi,147282,2022,18071
Audi,133067,2013,27195
Audi,143589,2006,25251
Lexus,101512,2017,23243
Lexus,36783,2017,34840
Audi,71148,2014,40251
Lexus,72147,2011,43309
Audi,49589,2021,32083
Lexus,35915,2018,40453
Audi,58190,2005,38144
Lexus,102684,2023,27575
Lexus,117784,2022,48833
Lexus,66046,2023,23019
Audi,107665,2015,31565
Audi,14844,2012,27858
Lexus,25418,2023,33598
Audi,8105,2017,24046
Audi,86562,2006,24406
Lexus,146183,2006,27210
Lexus,14846,2006,40057
Lexus,51602,2007,13180
Lexus,37813,2009,18093
Audi,111947,2007,24487
Audi,123619,2008,21094
Audi,60232,2009,38914
Lexus,10178,2017,19775
Audi,113311,2019,14811
Audi,38015,2013,47421
Audi,16189,2005,42747
Lexus,100116,2022,23756
Lexus,75013,2008,46625
Lexus,107046,2016,42631
Audi,60665,2016,43623
Lexus,24654,2008,12698
Audi,105414,2020,41973
Lexus,52559,2010,38201
Lexus,36570,2012,33042
Lexus,63630,2005,35088
Audi,87563,2016,26762
Audi,114366,2010,30334
Audi,122734,2011,41342
Lexus,90895,2009,18113
Lexus,36446,2018,23809
Lexus,92895,2009,31616
Audi,26625,2008,34394
Lexus,84139,2007,47565
Lexus,91828,2015,28130
Audi,127593,2012,42470
Audi,7261,2011,10249
Audi,141908,2006,24575
Lexus,49716,2023,47089
Audi,145195,2023,11173
Lexus,130050,2015,46789
Audi,148865,2013,21570
Audi,95291,2012,11617
Audi,98507,2005,28657
Audi,49340,2012,33177
Lexus,106736,2007,14269
Audi,95008,2014,15729
Audi,43244,2014,23171
Lexus,140279,2021,18366
Audi,6292,2012,11820
Audi,41427,2021,28961
Lexus,91733,2006,40978
Lexus,134256,2009,21530
Lexus,51137,2013,17179
Audi,28687,2016,22350
Audi,103034,2015,33237
Audi,9612,2019,43561
Lexus,20843,2020,30557
Audi,93227,2023,18867
Lexus,46087,2018,19007
Audi,37143,2016,49695
Audi,73945,2016,16556
Lexus,16206,2009,34536
Lexus,111030,2016,30645
Lexus,68552,2006,36265
Lexus,146783,2006,14465
Audi,107949,2020,31319
Lexus,10942,2011,35884
Lexus,105575,2009,46442
Lexus,21374,2017,33726
Lexus,27412,2011,13300
Lexus,123742,2012,10306
Audi,19007,2014,27528
Audi,50170,2007,45294
Audi,12558,2014,21585
Audi,6852,2016,10003
Lexus,41253,2011,44780
Lexus,143464,2014,20199
Audi,9335,2023,38822
Lexus,99201,2013,39555
Lexus,75885,2021,29632
Lexus,64920,2022,14376
Audi,82274,2020,31554
Lexus,107391,2012,24364
Audi,36514,2009,24636
Lexus,26515,2010,41970
Lexus,111443,2005,47700
Lexus,52211,2013,25398
Lexus,112071,2014,43866
Lexus,105015,2010,29537
Lexus,77960,2016,31180
Lexus,48542,2022,30082
Lexus,115129,2013,15074
Audi,20277,2014,17569
Lexus,109407,2016,39838
Audi,8564,2006,44883
Audi,73368,2014,32040
Lexus,10770,2009,23363
Lexus,5547,2022,38260
Audi,124851,2023,12166
Lexus,132131,2022,13195
Lexus,39732,2006,31056
Audi,19102,2010,12163
Audi,100549,2017,17390
Lexus,25876,2022,44551
Lexus,74286,2019,35381
Lexus,132941,2016,48688
Audi,48342,2005,39983
Audi,77135,2010,21884
Audi,109331,2017,45631
Audi,122917,2005,48967
Lexus,18330,2021,19229
Audi,31516,2009,47645
Lexus,125492,2020,16809
Lexus,34065,2012,42156
Audi,140062,2011,42652
Lexus,110582,2023,21963
Lexus,89988,2015,29655
Lexus,24301,2012,35293
Lexus,143414,2007,41908
Lexus,124891,2020,18937
Audi,11886,2013,39612
Lexus,49681,2012,42296
Lexus,115189,2008,14653
Audi,115813,2022,29279
Lexus,146311,2006,46445
Audi,136651,2008,46051
Audi,133573,2011,10704
Audi,22841,2015,33719
Audi,97673,2009,27229
Audi,87588,2005,17389
Audi,85236,2009,39414
Audi,33913,2005,28048
Lexus,73919,2012,29941
Audi,103568,2022,17750
Audi,70248,2017,24201
Audi,41708,2011,22316
Audi,23017,2015,27650
Audi,126033,2013,48426
Lexus,135646,2018,23711
Audi,7723,2008,26904
Lexus,147959,2022,15266
Audi,45304,2007,40769
Audi,57189,2006,37799
Lexus,28462,2009,24143
Audi,88205,2007,14206
Lexus,36539,2021,46818
Audi,34927,2018,10734
Lexus,114144,2010,22805
Audi,19432,2007,34618
Lexus,24662,2017,14074
Audi,83309,2008,42825
Lexus,130220,2006,13509
Lexus,124074,2014,28522
Lexus,115139,2009,18544
Lexus,48486,2023,47086
Audi,135686,2007,34759
Lexus,99080,2023,16814
Lexus,85297,2013,34470
Lexus,88233,2014,27258
Lexus,43225,2005,12382
Audi,78116,2008,34429
Audi,88082,2018,21464
Lexus,124113,2023,34590
Lexus,12454,2021,20287
Lexus,24148,2015,45840
Audi,76042,2020,33634
Lexus,50507,2005,41112
Lexus,126267,2018,31640
Lexus,145847,2018,41459
Audi,57358,2013,47055
Lexus,141866,2008,10193
Lexus,140882,2008,13787
Audi,25783,2011,26921
Audi,52298,2009,15142
Audi,6841,2020,41931
Lexus,125396,2010,17131
Lexus,86305,2023,41294
Lexus,141447,2011,13131
Lexus,142638,2015,37237
Audi,114910,2014,39415
Lexus,10437,2023,32813
Lexus,130660,2022,10278
Lexus,95885,2009,15257
Audi,49969,2010,13806
Audi,117248,2009,10559
Audi,47042,2010,19361
Lexus,62406,2013,19663
Lexus,78713,2013,11284
Lexus,115165,2020,49794
Lexus,120273,2010,11607
Lexus,72991,2018,26669
Lexus,103601,2012,48661
Audi,84140,2014,26076
Lexus,48309,2023,48302
Lexus,68744,2010,21564
Lexus,25543,2011,13324
Audi,45667,2010,41176
Audi,91503,2015,43346
Audi,121243,2010,22452
Lexus,29199,2018,23611
Lexus,148295,2006,47932
Audi,24412,2013,34776
Audi,143180,2009,10812
Audi,75336,2023,38763
Audi,51362,2018,20712
Audi,85372,2009,46714
Audi,30486,2016,45091
Lexus,68137,2019,23937
Lexus,122590,2021,24192
Audi,47940,2014,46762
Lexus,69115,2019,15514
Audi,115513,2019,23111
Lexus,90806,2005,35159
Audi,20389,2018,16569
Lexus,11798,2022,34938
Lexus,45827,2015,22212
Audi,58307,2015,32118
Audi,63471,2007,13046
Lexus,15432,2012,49719
Lexus,60004,2008,31855
Lexus,29916,2014,18797
Audi,100748,2008,39895
Lexus,42536,2007,21280
Lexus,149479,2005,22026
Lexus,15322,2005,47253
Lexus,17408,2018,19658
Audi,102349,2020,18069
Lexus,28610,2013,21525
Audi,94962,2018,12691
Audi,47156,2010,27737
Audi,43683,2005,16108
Audi,138886,2013,34766
Audi,70863,2020,49642
Audi,67975,2006,25444
Lexus,147074,2022,24776
Audi,102681,2011,47036
Audi,137176,2018,19972
Audi,45192,2009,25044
Audi,142361,2014,21848
Audi,64488,2014,12958
Audi,56104,2014,34465
Audi,108132,2014,12888
Lexus,66201,2021,22788
Audi,143266,2007,23511
Lexus,102400,2019,37070
Lexus,76016,2012,10529
Audi,58690,2018,19322
Lexus,39379,2016,31010
Audi,11986,2019,12543
Lexus,48017,2017,12303
Audi,77688,2011,49963
Audi,142052,2010,41587
Lexus,114960,2018,13209
Audi,16536,2013,49188
Audi,110621,2007,37346
Audi,48988,2013,12390
Audi,62468,2010,42328
Lexus,7953,2006,13783
Audi,92646,2011,15487
Lexus,139162,2012,29092
Lexus,68056,2020,39023
Lexus,92054,2023,31769
Audi,127969,2010,48136
Lexus,13102,2014,44564
Audi,74739,2006,15845
Lexus,130683,2008,47661
Lexus,84449,2016,26073
Lexus,25979,2005,45503
Lexus,109389,2023,39506
Audi,102074,2013,24482
Audi,133991,2008,10830
Audi,81245,2017,33634
Audi,74571,2018,46704
Lexus,124081,2015,14945
Lexus,103446,2013,49529
Lexus,60762,2022,17468
Lexus,130944,2012,44296
Lexus,87818,2009,20048
Audi,39236,2011,14559
Lexus,137936,2018,11528
Audi,80620,2018,48145
Audi,93100,2013,44340
Audi,59999,2009,49618
Lexus,87969,2012,45740
Audi,79198,2020,47578
Audi,103049,2018,28621
Audi,144854,2015,10932
Lexus,92470,2020,40472
Audi,59147,2016,43241
Lexus,104820,2020,20438
Lexus,144833,2007,29227
Lexus,67409,2008,25063
Lexus,39549,2014,47988
Audi,124826,2011,32336
Audi,52270,2023,13896
Audi,99495,2013,39860
Lexus,13227,2017,10454
Lexus,80439,2022,41191
Audi,123255,2020,33712
Audi,26409,2017,26903
Lexus,93915,2012,31483
Audi,134367,2014,27759
Lexus,26542,2010,22301
Lexus,8053,2022,35771
Lexus,40940,2012,44188
Audi,133658,2014,21932
Lexus,112631,2020,33123
Audi,85306,2008,23406
Lexus,67919,2013,35003
Lexus,122481,2013,10602
Lexus,17048,2020,21909
Lexus,36982,2021,33499
Audi,90768,2008,24945
Audi,48942,2021,15137
Audi,139731,2022,40054
Audi,112811,2019,38178
Lexus,54243,2022,10653
Audi,26040,2012,40664
Audi,6734,2009,48243
Audi,39233,2006,36229
Lexus,28876,2011,44100
Lexus,33396,2016,13440
Lexus,129101,2008,14967
Audi,8308,2016,41080
Lexus,61399,2005,40492
Audi,95636,2016,48217
Audi,42031,2020,33392
Audi,118541,2008,38186
Audi,100206,2015,20638
Lexus,116875,2014,27112
Audi,101869,2020,42646
Audi,10311,2016,11147
Audi,125427,2021,36611
Lexus,32736,2006,39286
Lexus,63447,2009,18303
Lexus,33396,2018,25539
Lexus,65017,2016,46746
Lexus,71641,2009,31025
Lexus,75283,2018,19177
Audi,25296,2021,25652
Lexus,128903,2018,31341
